time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.coordinate_frame,.type_mask,x_pose,y_pose,z_pose,.velocity.x,.velocity.y,.velocity.z,.acceleration_or_force.x,.acceleration_or_force.y,.acceleration_or_force.z,.yaw,.yaw_rate
2023/02/22/20:32:55.384622,2659,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.434535,2660,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.484427,2661,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.534777,2662,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.584653,2663,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.634477,2664,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.684450,2665,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.734541,2666,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.784429,2667,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.834715,2668,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.884382,2669,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.934542,2670,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:55.984522,2671,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.034523,2672,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.084471,2673,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.134580,2674,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.184446,2675,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.234626,2676,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.284448,2677,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.334879,2678,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.384591,2679,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.434718,2680,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.484383,2681,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.534603,2682,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.584587,2683,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.634704,2684,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.684546,2685,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.734607,2686,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:56.784688,2687,0,0,,1,504,0,10,15,0,0,0,0,0,0,1.570796013,0
